,content,date,event,geo,language,sentiment,source,targets,uri
53,"A little depth on the Apple's #iPhone8 and #iPhone8Plus

@Apple 
 
https://t.co/iqjSO43mUB",2017-09-13 07:00:00,Other,"19.142801,72.820468",en,0.0,twitter,"[{'sentiment': 0, 'label': '1'}, {'sentiment': 0, 'label': '3'}]",https://twitter.com/undefined/status/907861403880615937
54,RT @ShujaRabbani: #Tabla - a North Indian percussion used on several tracks in #LipService. Download/stream it on @amazon here… ,2017-09-13 07:00:00,Other,,en,0.0,twitter,[],https://twitter.com/undefined/status/907861404652318720
55,ESMO: Merck details Keytruda's narrow head and neck cancer miss in phase 3 https://t.co/0bxMMRIy9R,2017-09-13 07:00:00,Other,"West End, District of Columbia",en,0.0,twitter,[],https://twitter.com/undefined/status/907861404220354560
56,"Is @jbrowder1 the world's leading access to justice campaigner...? 
&gt;&gt;&gt; #equifaxbreach 
https://t.co/FP3pKUatEv",2017-09-13 06:59:59,Other,,en,0.0,twitter,[],https://twitter.com/undefined/status/907861399598239744
57,"RT @seynyora: Yep. You'll be unlocking your iPhone X with your face.

Bravo, @Apple.

#iPhone8 #AppleEvent https://t.co/5cMVZHHdx1",2017-09-13 06:59:58,Other,"Malacca, Malaysia",en,0.0,twitter,"[{'sentiment': 0, 'label': 'face'}]",https://twitter.com/undefined/status/907861395638595584
58,Amazing session by Ms. Swati from @IBM. Appreciate their initiatives to build #fintech #Blockchain Ecosystem. #FinTechIn5 @NASSCOMStartUps,2017-09-13 06:59:58,Other,New Delhi,en,0.0,twitter,"[{'sentiment': 0, 'label': 'ibm'}]",https://twitter.com/undefined/status/907861394434932736
59,RT @ShujaRabbani: #Tabla - a North Indian percussion used on several tracks in #LipService. Download/stream it on @amazon here… ,2017-09-13 06:59:58,Other,Phoenix,en,0.0,twitter,[],https://twitter.com/undefined/status/907861394460114947
60,RT @ShujaRabbani: #Tabla - a North Indian percussion used on several tracks in #LipService. Download/stream it on @amazon here… ,2017-09-13 06:59:57,Other,,en,0.0,twitter,[],https://twitter.com/undefined/status/907861390483800064
61,take my money pls @Apple https://t.co/9XSEyjtfU7,2017-09-13 06:59:55,Other,UCI '21,en,0.0,twitter,[],https://twitter.com/undefined/status/907861380455268352
62,#Automotive giant to undertake sweeping #IT transformation with @SAP solutions https://t.co/FkLKK9j47x #SAP… https://t.co/mxE0kQ1guf,2017-09-13 06:59:55,Other,"Sydney, New South Wales",en,0.0,twitter,[],https://twitter.com/undefined/status/907861383878004741
